"absolute_path","relative_path","size_bytes","sha256","sha256_note","mime","modified_time","is_empty","line_count","file_role_guess"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\.env",".env","1858","33409FE42420A6650629E29ECFA32E25719DFBE866CDDF49567D136D46CBF13B","full","application/octet-stream","2025-12-20T04:56:58.3104010Z","False","79","conf"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\ALPHA_COMPLETE.md","ALPHA_COMPLETE.md","6292","230AFD1D96F734853D51C8CD777974D1FE480B53DBEEABFC124A2E0C5E7E395C","full","text/markdown","2025-12-20T04:56:57.7027654Z","False","198","md"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\BUILD_ROADMAP.md","BUILD_ROADMAP.md","18753","2C987CA300FD507D164B30102ABA8C8D4702018A4D30F8598ABC499CEB3F0692","full","text/markdown","2025-12-20T04:56:57.8642852Z","False","753","md"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\composer.json","composer.json","430","7CC3C8CACC6947BE23DB2B1A6D3C03D0487565338E530C6C588CA641B71CDC0F","full","application/json","2025-12-20T04:56:57.5452190Z","False","19","json"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\composer.lock","composer.lock","4274","FBEF389EA76B35E8E66BC3B81E69DDF1E75FF86A5EEE3BFA6EB79AE7D2DF3973","full","application/octet-stream","2025-12-20T04:56:57.9578064Z","False",,"binary"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\FINAL_FIXES.md","FINAL_FIXES.md","7235","AD28458085CC90B054EDB562A9AF65A4211CF655153FD1AC04E86F03A7803D3D","full","text/markdown","2025-12-20T04:56:57.8212858Z","False","262","md"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\INSTALL_SCHEMAS.sh","INSTALL_SCHEMAS.sh","1778","FB64941DA95A362EF452949690F48B9B95C4BE7E41C7A2E6848A86D4919BA30F","full","text/x-shellscript","2025-12-20T04:56:58.0013244Z","False","53","script"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\NUL","NUL","0",,"full","application/octet-stream","2025-12-18T22:22:40.8100513Z","True",,"binary"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\OPTION_B_COMPLETE.md","OPTION_B_COMPLETE.md","10224","D769AD91A5C062B6F910989D5F5AC5BD291882DEB2E93615F3127CED0D0E5462","full","text/markdown","2025-12-20T04:56:57.4917168Z","False","286","md"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\QUICK_FIX_SUMMARY.md","QUICK_FIX_SUMMARY.md","3446","C7604DED4094569738D467986E0987E093D1FDCF9B7C232F432790059524CFDF","full","text/markdown","2025-12-20T04:56:58.2673816Z","False","130","md"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\README.md","README.md","4128","1E98A02D6EE7352184F3439A42298720FC928D734B511237FA359A95D0CA94ED","full","text/markdown","2025-12-20T04:56:57.6687413Z","False","116","md"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\UI_CONSISTENCY_UPDATE.md","UI_CONSISTENCY_UPDATE.md","11258","670117E5BEB6A59D989566892855864B3665F9DB73FD14E19C3D4DA8A77AFE3B","full","text/markdown","2025-12-20T04:56:58.1558582Z","False","423","md"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\assets\css\global.css","assets\css\global.css","793","196E738AFAE93C570058282326B5AE61922B1EE51CDD7DFC9E20648DB1D4D82A","full","text/css","2025-12-20T04:57:15.3500380Z","False","25","css"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\assets\css\tc-components.css","assets\css\tc-components.css","23032","5B9F7343122D8AD212634CD44DA4EAC45DA1E85E8E52A4B48BA3AB574E48EBC0","full","text/css","2025-12-20T04:57:15.3490354Z","False","1183","css"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\assets\css\tc-components.css.backup","assets\css\tc-components.css.backup","21278","08EF6C43A419F654A68521E84F70C1975AF52A3898A12851B81CAA2A8148BF07","full","application/octet-stream","2025-12-20T04:57:15.4595547Z","False",,"binary"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\assets\css\tc-layout.css","assets\css\tc-layout.css","19701","CC0713EC51E23F0BF827C254348FA6C4B06A11547FA30FD0CD16089E4F798172","full","text/css","2025-12-20T04:57:15.2229383Z","False","854","css"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\assets\css\tc-themes.css","assets\css\tc-themes.css","4100","99645BCD8408735A31BB715F2D2DCC203807C9912FF0E115482AC4CAC376C902","full","text/css","2025-12-20T04:57:15.2264430Z","False","99","css"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\assets\css\tc-tokens.css","assets\css\tc-tokens.css","7426","7D9F790033DD9F8C2B2D4B54A70F0FABC848547081BF0662AEB82DB5BF8A0E9E","full","text/css","2025-12-20T04:57:15.1149240Z","False","215","css"
"C:\Users\Shadow\Desktop\trench_city_v2_master_skeleton\trench_city\assets\imgs\london.jpg","assets\imgs\london.jpg","151101","824FC7DAC8ED9AAE1AF18BA2386B20C08AC286FB927A1A4DE9F916AEDAC45454","full","image/jpeg","2025-12-20T04:57:15.5360855Z","False",,"binary"
